Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,MSEX,Middlesex Water Company - Common Stock,Q,Q,N,100.0,N,N,,MSEX,N,Utilities,Yahoo Finance
Y,NEE,"NextEra Energy, Inc. Common Stock",N, ,N,100.0,N,,NEE,NEE,N,Utilities,Yahoo Finance
Y,NGG,"National Grid Transco, PLC National Grid PLC (NEW) American Depositary Shares",N, ,N,100.0,N,,NGG,NGG,N,Utilities,Yahoo Finance
Y,NI,NiSource Inc Common Stock,N, ,N,100.0,N,,NI,NI,N,Utilities,Yahoo Finance
Y,NJR,NewJersey Resources Corporation Common Stock,N, ,N,100.0,N,,NJR,NJR,N,Utilities,Yahoo Finance
Y,NRG,"NRG Energy, Inc. Common Stock",N, ,N,100.0,N,,NRG,NRG,N,Utilities,Yahoo Finance
Y,NWE,NorthWestern Corporation Common Stock,N, ,N,100.0,N,,NWE,NWE,N,Utilities,Yahoo Finance
Y,NWN,Northwest Natural Holding Company Common Stock,N, ,N,100.0,N,,NWN,NWN,N,Utilities,Yahoo Finance
Y,OGE,OGE Energy Corp Common Stock,N, ,N,100.0,N,,OGE,OGE,N,Utilities,Yahoo Finance
Y,OGS,"ONE Gas, Inc. Common Stock",N, ,N,100.0,N,,OGS,OGS,N,Utilities,Yahoo Finance
Y,ORA,"Ormat Technologies, Inc. Common Stock",N, ,N,100.0,N,,ORA,ORA,N,Utilities,Yahoo Finance
Y,PAM,Pampa Energia S.A. Pampa Energia S.A.,N, ,N,100.0,N,,PAM,PAM,N,Utilities,Yahoo Finance
Y,PCG,Pacific Gas & Electric Co. Common Stock,N, ,N,100.0,N,,PCG,PCG,N,Utilities,Yahoo Finance
Y,PCYO,Pure Cycle Corporation - Common Stock,Q,S,N,100.0,N,N,,PCYO,N,Utilities,Yahoo Finance
Y,PEG,Public Service Enterprise Group Incorporated Common Stock,N, ,N,100.0,N,,PEG,PEG,N,Utilities,Yahoo Finance
Y,PNW,Pinnacle West Capital Corporation Common Stock,N, ,N,100.0,N,,PNW,PNW,N,Utilities,Yahoo Finance
Y,POR,Portland General Electric Co Common Stock,N, ,N,100.0,N,,POR,POR,N,Utilities,Yahoo Finance
Y,PPL,PPL Corporation Common Stock,N, ,N,100.0,N,,PPL,PPL,N,Utilities,Yahoo Finance
Y,RGCO,RGC Resources Inc. - Common Stock,Q,G,N,100.0,N,N,,RGCO,N,Utilities,Yahoo Finance
Y,SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp American Depositary Shares (Each repstg 250 Common Shares),N, ,N,100.0,N,,SBS,SBS,N,Utilities,Yahoo Finance
Y,SO,Southern Company (The) Common Stock,N, ,N,100.0,N,,SO,SO,N,Utilities,Yahoo Finance
Y,SPH,"Suburban Propane Partners, L.P. Common Stock",N, ,N,100.0,N,,SPH,SPH,N,Utilities,Yahoo Finance
Y,SR,Spire Inc. Common Stock,N, ,N,100.0,N,,SR,SR,N,Utilities,Yahoo Finance
Y,SRE,Sempra Energy Common Stock,N, ,N,100.0,N,,SRE,SRE,N,Utilities,Yahoo Finance
Y,SWX,"Southwest Gas Holdings, Inc. Common Stock (DE)",N, ,N,100.0,N,,SWX,SWX,N,Utilities,Yahoo Finance
Y,TAC,TransAlta Corporation Ordinary Shares,N, ,N,100.0,N,,TAC,TAC,N,Utilities,Yahoo Finance
Y,UGI,UGI Corporation Common Stock,N, ,N,100.0,N,,UGI,UGI,N,Utilities,Yahoo Finance
Y,UTL,UNITIL Corporation Common Stock,N, ,N,100.0,N,,UTL,UTL,N,Utilities,Yahoo Finance
Y,VST,Vistra Energy Corp. Common Stock,N, ,N,100.0,N,,VST,VST,N,Utilities,Yahoo Finance
Y,WEC,"WEC Energy Group, Inc. Common Stock",N, ,N,100.0,N,,WEC,WEC,N,Utilities,Yahoo Finance
Y,WTRG,"Essential Utilities, Inc. Common Stock",N, ,N,100.0,N,,WTRG,WTRG,N,Utilities,Yahoo Finance
Y,XEL,Xcel Energy Inc. - Common Stock,Q,Q,N,100.0,N,N,,XEL,N,Utilities,Yahoo Finance
Y,YORW,The York Water Company - Common Stock,Q,Q,N,100.0,N,N,,YORW,N,Utilities,Yahoo Finance
