Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,COTY,Coty Inc. Class A Common Stock,N, ,N,100.0,N,,COTY,COTY,N,Consumer Defensive,Yahoo Finance
Y,CPB,Campbell Soup Company Common Stock,N, ,N,100.0,N,,CPB,CPB,N,Consumer Defensive,Yahoo Finance
Y,CVGW,"Calavo Growers, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CVGW,N,Consumer Defensive,Yahoo Finance
Y,CYAN,Cyanotech Corporation - Common Stock,Q,S,N,100.0,N,N,,CYAN,N,Consumer Defensive,Yahoo Finance
Y,DAO,"Youdao, Inc. American Depositary Shares, each representing one Class A Ordinary Share",N, ,N,100.0,N,,DAO,DAO,N,Consumer Defensive,Yahoo Finance
Y,DAR,Darling Ingredients Inc. Common Stock,N, ,N,100.0,N,,DAR,DAR,N,Consumer Defensive,Yahoo Finance
Y,DEO,Diageo plc Common Stock,N, ,N,100.0,N,,DEO,DEO,N,Consumer Defensive,Yahoo Finance
Y,DG,Dollar General Corporation Common Stock,N, ,N,100.0,N,,DG,DG,N,Consumer Defensive,Yahoo Finance
Y,DIT,AMCON Distributing Company Common Stock,A, ,N,10.0,N,,DIT,DIT,N,Consumer Defensive,Yahoo Finance
Y,DLTR,"Dollar Tree, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DLTR,N,Consumer Defensive,Yahoo Finance
Y,EDU,"New Oriental Education & Technology Group, Inc. Sponsored ADR representing 1 Ordinary Share (Cayman Islands)",N, ,N,100.0,N,,EDU,EDU,N,Consumer Defensive,Yahoo Finance
Y,EL,"Estee Lauder Companies, Inc. (The) Common Stock",N, ,N,100.0,N,,EL,EL,N,Consumer Defensive,Yahoo Finance
Y,ELF,"e.l.f. Beauty, Inc. Common Stock",N, ,N,100.0,N,,ELF,ELF,N,Consumer Defensive,Yahoo Finance
Y,EPC,Edgewell Personal Care Company Common Stock,N, ,N,100.0,N,,EPC,EPC,N,Consumer Defensive,Yahoo Finance
Y,FAMI,"Farmmi, INC. - Ordinary Shares",Q,S,N,100.0,N,D,,FAMI,N,Consumer Defensive,Yahoo Finance
Y,FARM,Farmer Brothers Company - Common Stock,Q,Q,N,100.0,N,N,,FARM,N,Consumer Defensive,Yahoo Finance
Y,FC,Franklin Covey Company Common Stock,N, ,N,100.0,N,,FC,FC,N,Consumer Defensive,Yahoo Finance
Y,FDP,"Fresh Del Monte Produce, Inc. Common Stock",N, ,N,100.0,N,,FDP,FDP,N,Consumer Defensive,Yahoo Finance
Y,FEDU,"Four Seasons Education (Cayman) Inc. American Depositary Shares, each two ADSs representing one ordinary share",N, ,N,100.0,N,,FEDU,FEDU,N,Consumer Defensive,Yahoo Finance
Y,FIZZ,National Beverage Corp. - Common Stock,Q,Q,N,100.0,N,N,,FIZZ,N,Consumer Defensive,Yahoo Finance
Y,FLO,"Flowers Foods, Inc. Common Stock",N, ,N,100.0,N,,FLO,FLO,N,Consumer Defensive,Yahoo Finance
Y,FMX,Fomento Economico Mexicano S.A.B. de C.V. Common Stock,N, ,N,100.0,N,,FMX,FMX,N,Consumer Defensive,Yahoo Finance
Y,FRPT,"Freshpet, Inc. - Common Stock",Q,G,N,100.0,N,N,,FRPT,N,Consumer Defensive,Yahoo Finance
Y,GHC,Graham Holdings Company Common Stock,N, ,N,100.0,N,,GHC,GHC,N,Consumer Defensive,Yahoo Finance
Y,GIS,"General Mills, Inc. Common Stock",N, ,N,100.0,N,,GIS,GIS,N,Consumer Defensive,Yahoo Finance
Y,GNLN,"Greenlane Holdings, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,GNLN,N,Consumer Defensive,Yahoo Finance
Y,GO,Grocery Outlet Holding Corp. - Common Stock,Q,Q,N,100.0,N,N,,GO,N,Consumer Defensive,Yahoo Finance
