Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,CARG,"CarGurus, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,CARG,N,Consumer Cyclical,Yahoo Finance
Y,CASY,"Caseys General Stores, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CASY,N,Consumer Cyclical,Yahoo Finance
Y,CATO,Cato Corporation (The) Class A Common Stock,N, ,N,100.0,N,,CATO,CATO,N,Consumer Cyclical,Yahoo Finance
Y,CBRL,"Cracker Barrel Old Country Store, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CBRL,N,Consumer Cyclical,Yahoo Finance
Y,CCK,"Crown Holdings, Inc.",N, ,N,100.0,N,,CCK,CCK,N,Consumer Cyclical,Yahoo Finance
Y,CCL,Carnival Corporation Common Stock,N, ,N,100.0,N,,CCL,CCL,N,Consumer Cyclical,Yahoo Finance
Y,CHA,China Telecom Corp Ltd ADS,N, ,N,100.0,N,,CHA,CHA,N,Consumer Cyclical,Yahoo Finance
Y,CHDN,"Churchill Downs, Incorporated - Common Stock",Q,Q,N,100.0,N,N,,CHDN,N,Consumer Cyclical,Yahoo Finance
Y,CHH,"Choice Hotels International, Inc. Common Stock",N, ,N,100.0,N,,CHH,CHH,N,Consumer Cyclical,Yahoo Finance
Y,CHWY,"Chewy, Inc. Class A Common Stock",N, ,N,100.0,N,,CHWY,CHWY,N,Consumer Cyclical,Yahoo Finance
Y,CLAR,Clarus Corporation - Common Stock,Q,Q,N,100.0,N,N,,CLAR,N,Consumer Cyclical,Yahoo Finance
Y,CMG,"Chipotle Mexican Grill, Inc. Common Stock",N, ,N,100.0,N,,CMG,CMG,N,Consumer Cyclical,Yahoo Finance
Y,CNNE,"Cannae Holdings, Inc. Common Stock",N, ,N,100.0,N,,CNNE,CNNE,N,Consumer Cyclical,Yahoo Finance
Y,CNTY,"Century Casinos, Inc. - Common Stock",Q,S,N,100.0,N,N,,CNTY,N,Consumer Cyclical,Yahoo Finance
Y,COLM,Columbia Sportswear Company - Common Stock,Q,Q,N,100.0,N,N,,COLM,N,Consumer Cyclical,Yahoo Finance
Y,CPHC,Canterbury Park Holding Corporation - Common Stock,Q,G,N,100.0,N,N,,CPHC,N,Consumer Cyclical,Yahoo Finance
Y,CPRI,Capri Holdings Limited Ordinary Shares,N, ,N,100.0,N,,CPRI,CPRI,N,Consumer Cyclical,Yahoo Finance
Y,CPS,Cooper-Standard Holdings Inc. Common Stock,N, ,N,100.0,N,,CPS,CPS,N,Consumer Cyclical,Yahoo Finance
Y,CRI,"Carter's, Inc. Common Stock",N, ,N,100.0,N,,CRI,CRI,N,Consumer Cyclical,Yahoo Finance
Y,CRMT,"America's Car-Mart, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CRMT,N,Consumer Cyclical,Yahoo Finance
Y,CROX,"Crocs, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CROX,N,Consumer Cyclical,Yahoo Finance
Y,CRWS,"Crown Crafts, Inc. - Common Stock",Q,S,N,100.0,N,N,,CRWS,N,Consumer Cyclical,Yahoo Finance
Y,CSV,"Carriage Services, Inc. Common Stock",N, ,N,100.0,N,,CSV,CSV,N,Consumer Cyclical,Yahoo Finance
Y,CTHR,Charles & Colvard Ltd. - Common Stock,Q,S,N,100.0,N,D,,CTHR,N,Consumer Cyclical,Yahoo Finance
Y,CTRN,"Citi Trends, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CTRN,N,Consumer Cyclical,Yahoo Finance
Y,CUK,Carnival Plc ADS ADS,N, ,N,100.0,N,,CUK,CUK,N,Consumer Cyclical,Yahoo Finance
Y,CULP,"Culp, Inc. Common Stock",N, ,N,100.0,N,,CULP,CULP,N,Consumer Cyclical,Yahoo Finance
Y,CVCO,"Cavco Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CVCO,N,Consumer Cyclical,Yahoo Finance
Y,CVEO,Civeo Corporation (Canada) Common Shares,N, ,N,100.0,N,,CVEO,CVEO,N,Consumer Cyclical,Yahoo Finance
Y,CVGI,"Commercial Vehicle Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,CVGI,N,Consumer Cyclical,Yahoo Finance
Y,CVNA,Carvana Co. Class A Common Stock,N, ,N,100.0,N,,CVNA,CVNA,N,Consumer Cyclical,Yahoo Finance
Y,CWH,"Camping World Holdings, Inc. Class A Commom Stock",N, ,N,100.0,N,,CWH,CWH,N,Consumer Cyclical,Yahoo Finance
Y,CYD,China Yuchai International Limited Common Stock,N, ,N,100.0,N,,CYD,CYD,N,Consumer Cyclical,Yahoo Finance
Y,CZR,Caesars Entertainment Corporation - Common Stock,Q,Q,N,100.0,N,N,,CZR,N,Consumer Cyclical,Yahoo Finance
Y,DAN,Dana Incorporated Common Stock ,N, ,N,100.0,N,,DAN,DAN,N,Consumer Cyclical,Yahoo Finance
Y,DBI,Designer Brands Inc. Class A Common Stock,N, ,N,100.0,N,,DBI,DBI,N,Consumer Cyclical,Yahoo Finance
Y,DDS,"Dillard's, Inc. Common Stock",N, ,N,100.0,N,,DDS,DDS,N,Consumer Cyclical,Yahoo Finance
Y,DECK,Deckers Outdoor Corporation Common Stock,N, ,N,100.0,N,,DECK,DECK,N,Consumer Cyclical,Yahoo Finance
Y,DENN,Denny's Corporation - Common Stock,Q,S,N,100.0,N,N,,DENN,N,Consumer Cyclical,Yahoo Finance
Y,DHI,"D.R. Horton, Inc. Common Stock",N, ,N,100.0,N,,DHI,DHI,N,Consumer Cyclical,Yahoo Finance
Y,DIN,"Dine Brands Global, Inc. Common Stock",N, ,N,100.0,N,,DIN,DIN,N,Consumer Cyclical,Yahoo Finance
Y,DKS,Dick's Sporting Goods Inc Common Stock,N, ,N,100.0,N,,DKS,DKS,N,Consumer Cyclical,Yahoo Finance
Y,DLTH,Duluth Holdings Inc. - Class B Common Stock,Q,Q,N,100.0,N,N,,DLTH,N,Consumer Cyclical,Yahoo Finance
Y,DOGZ,Dogness (International) Corporation - Class A Common Stock,Q,G,N,100.0,N,D,,DOGZ,N,Consumer Cyclical,Yahoo Finance
Y,DOOO,BRP Inc. - Common Subordinate Voting Shares,Q,Q,N,100.0,N,N,,DOOO,N,Consumer Cyclical,Yahoo Finance
Y,DORM,"Dorman Products, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DORM,N,Consumer Cyclical,Yahoo Finance
Y,DPZ,Domino's Pizza Inc Common Stock,N, ,N,100.0,N,,DPZ,DPZ,N,Consumer Cyclical,Yahoo Finance
Y,DRI,"Darden Restaurants, Inc. Common Stock",N, ,N,100.0,N,,DRI,DRI,N,Consumer Cyclical,Yahoo Finance
Y,DSS,"Document Security Systems, Inc. Common Stock",A, ,N,100.0,N,,DSS,DSS,N,Consumer Cyclical,Yahoo Finance
Y,DXLG,"Destination XL Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,DXLG,N,Consumer Cyclical,Yahoo Finance
Y,DXYN,"The Dixie Group, Inc. - Common Stock",Q,G,N,100.0,N,N,,DXYN,N,Consumer Cyclical,Yahoo Finance
Y,EAT,"Brinker International, Inc. Common Stock",N, ,N,100.0,N,,EAT,EAT,N,Consumer Cyclical,Yahoo Finance
Y,EBAY,eBay Inc. - Common Stock,Q,Q,N,100.0,N,N,,EBAY,N,Consumer Cyclical,Yahoo Finance
Y,EFOI,"Energy Focus, Inc. - Common Stock",Q,S,N,100.0,N,D,,EFOI,N,Consumer Cyclical,Yahoo Finance
Y,ELA,Envela Corporation Common Stock,A, ,N,100.0,N,,ELA,ELA,N,Consumer Cyclical,Yahoo Finance
Y,ESCA,"Escalade, Incorporated - Common Stock",Q,G,N,100.0,N,N,,ESCA,N,Consumer Cyclical,Yahoo Finance
Y,ETSY,"Etsy, Inc. - Common Stock",Q,Q,N,100.0,N,N,,ETSY,N,Consumer Cyclical,Yahoo Finance
Y,EXPE,"Expedia Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EXPE,N,Consumer Cyclical,Yahoo Finance
Y,EYE,"National Vision Holdings, Inc. - Common Stock",Q,Q,N,100.0,N,N,,EYE,N,Consumer Cyclical,Yahoo Finance
Y,F,Ford Motor Company Common Stock,N, ,N,100.0,N,,F,F,N,Consumer Cyclical,Yahoo Finance
Y,FAT,FAT Brands Inc. - Common Stock,Q,S,N,100.0,N,N,,FAT,N,Consumer Cyclical,Yahoo Finance
Y,FIVE,"Five Below, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FIVE,N,Consumer Cyclical,Yahoo Finance
Y,FL,"Foot Locker, Inc.",N, ,N,100.0,N,,FL,FL,N,Consumer Cyclical,Yahoo Finance
Y,FLL,"Full House Resorts, Inc. - Common Stock",Q,S,N,100.0,N,N,,FLL,N,Consumer Cyclical,Yahoo Finance
Y,FLWS,"1-800-FLOWERS.COM, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FLWS,N,Consumer Cyclical,Yahoo Finance
Y,FLXS,"Flexsteel Industries, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FLXS,N,Consumer Cyclical,Yahoo Finance
Y,FND,"Floor & Decor Holdings, Inc. Common Stock",N, ,N,100.0,N,,FND,FND,N,Consumer Cyclical,Yahoo Finance
Y,FNKO,"Funko, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,FNKO,N,Consumer Cyclical,Yahoo Finance
Y,FORD,"Forward Industries, Inc. - Common Stock",Q,S,N,100.0,N,N,,FORD,N,Consumer Cyclical,Yahoo Finance
Y,FOSL,"Fossil Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,FOSL,N,Consumer Cyclical,Yahoo Finance
Y,FOXF,Fox Factory Holding Corp. - Common Stock,Q,Q,N,100.0,N,N,,FOXF,N,Consumer Cyclical,Yahoo Finance
Y,FRSX,Foresight Autonomous Holdings Ltd. - American Depositary Shares,Q,S,N,100.0,N,N,,FRSX,N,Consumer Cyclical,Yahoo Finance
Y,FTDR,"frontdoor, inc. - Common Stock",Q,Q,N,100.0,N,N,,FTDR,N,Consumer Cyclical,Yahoo Finance
Y,FUN,"Cedar Fair, L.P. Common Stock",N, ,N,100.0,N,,FUN,FUN,N,Consumer Cyclical,Yahoo Finance
Y,GCO,Genesco Inc. Common Stock,N, ,N,100.0,N,,GCO,GCO,N,Consumer Cyclical,Yahoo Finance
Y,GDEN,"Golden Entertainment, Inc. - Common Stock",Q,G,N,100.0,N,N,,GDEN,N,Consumer Cyclical,Yahoo Finance
Y,GEF,Greif Inc. Class A Common Stock,N, ,N,100.0,N,,GEF,GEF,N,Consumer Cyclical,Yahoo Finance
Y,GES,"Guess?, Inc. Common Stock",N, ,N,100.0,N,,GES,GES,N,Consumer Cyclical,Yahoo Finance
Y,GHG,"GreenTree Hospitality Group Ltd. American depositary shares, each representing one Class A ordinary share",N, ,N,100.0,N,,GHG,GHG,N,Consumer Cyclical,Yahoo Finance
Y,GIII,"G-III Apparel Group, LTD. - Common Stock",Q,Q,N,100.0,N,N,,GIII,N,Consumer Cyclical,Yahoo Finance
