Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Industry,Source
Y,FWONA,Liberty Media Corporation - Series A Liberty Formula One Common Stock,Q,Q,N,100.0,N,N,,FWONA,N,Communication Services,Yahoo Finance
Y,FWONK,Liberty Media Corporation - Series C Liberty Formula One Common Stock,Q,Q,N,100.0,N,N,,FWONK,N,Communication Services,Yahoo Finance
Y,GAIA,"Gaia, Inc. - Class A Common Stock",Q,G,N,100.0,N,N,,GAIA,N,Communication Services,Yahoo Finance
Y,GCI,"Gannett Co., Inc. Common Stock",N, ,N,100.0,N,,GCI,GCI,N,Communication Services,Yahoo Finance
Y,GIGM,GigaMedia Limited - Ordinary Shares,Q,S,N,100.0,N,N,,GIGM,N,Communication Services,Yahoo Finance
Y,GLIBA,"GCI Liberty, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,GLIBA,N,Communication Services,Yahoo Finance
Y,GOGO,Gogo Inc. - Common Stock,Q,Q,N,100.0,N,N,,GOGO,N,Communication Services,Yahoo Finance
Y,GOOG,Alphabet Inc. - Class C Capital Stock,Q,Q,N,100.0,N,N,,GOOG,N,Communication Services,Yahoo Finance
Y,GOOGL,Alphabet Inc. - Class A Common Stock,Q,Q,N,100.0,N,N,,GOOGL,N,Communication Services,Yahoo Finance
Y,GRPN,"Groupon, Inc. - Common Stock",Q,Q,N,100.0,N,N,,GRPN,N,Communication Services,Yahoo Finance
Y,GRVY,"GRAVITY Co., Ltd. - American depositary shares, each representing one common share.",Q,G,N,100.0,N,N,,GRVY,N,Communication Services,Yahoo Finance
Y,GSAT,"Globalstar, Inc. Common Stock",A, ,N,100.0,N,,GSAT,GSAT,N,Communication Services,Yahoo Finance
Y,GTN,"Gray Television, Inc. Common Stock",N, ,N,100.0,N,,GTN,GTN,N,Communication Services,Yahoo Finance
Y,HUYA,"HUYA Inc. American depositary shares, each  representing one Class A ordinary share",N, ,N,100.0,N,,HUYA,HUYA,N,Communication Services,Yahoo Finance
Y,IAC,IAC/InterActiveCorp - Common Stock,Q,Q,N,100.0,N,N,,IAC,N,Communication Services,Yahoo Finance
