date,close,ret,logret,sma,vol,drawdown,regime_A,regime_B,regime_C
2016-02-04,4167.77162445,-0.00100578,-0.00100629,4249.85027495,0.29586604,-0.07338721,Bear,Bear,Bear
2016-02-05,4024.47309477,-0.03438253,-0.03498752,4240.45955911,0.30037963,-0.10524650,Bear,Bear,Bear
2016-02-08,3960.67104706,-0.01585352,-0.01598053,4229.26801863,0.30330185,-0.11943149,Bear,Bear,Bear
2016-02-09,3947.80395611,-0.00324871,-0.00325400,4218.44247776,0.30226606,-0.12229221,Bear,Bear,Bear
2016-02-10,3966.27518581,0.00467886,0.00466795,4209.10294843,0.29844254,-0.11818553,Bear,Bear,Bear
2016-02-11,3962.22426152,-0.00102134,-0.00102186,4200.28585247,0.27521547,-0.11908617,Bear,Bear,Bear
2016-02-12,4019.19091871,0.01437744,0.01427507,4194.04119958,0.26818226,-0.10642088,Bear,Bear,Bear
2016-02-16,4104.33033101,0.02118322,0.02096198,4191.05083730,0.25912662,-0.08749200,Bear,Bear,Bear
2016-02-17,4199.10300787,0.02309090,0.02282834,4191.31058473,0.27199330,-0.06642137,Bull,Bear,Bear
2016-02-18,4151.49223365,-0.01133832,-0.01140309,4190.06626126,0.27515275,-0.07700658,Bear,Bear,Bear
2016-02-19,4164.08770087,0.00303396,0.00302937,4189.27903216,0.27530172,-0.07420625,Bear,Bear,Bear
2016-02-22,4231.26818859,0.01613330,0.01600454,4190.51400735,0.26240713,-0.05927014,Bull,Bear,Bear
2016-02-23,4162.54025528,-0.01624287,-0.01637623,4189.71475729,0.26350162,-0.07455029,Bear,Bear,Bear
2016-02-24,4200.65921450,0.00915762,0.00911594,4190.01876999,0.26362563,-0.06607538,Bull,Bear,Bear
2016-02-25,4241.05889650,0.00961746,0.00957151,4191.39823287,0.24882773,-0.05709339,Bull,Bear,Bear
2016-02-26,4235.61627875,-0.00128332,-0.00128414,4192.56186565,0.24456345,-0.05830344,Bull,Bear,Bear
2016-02-29,4201.11782033,-0.00814485,-0.00817820,4192.78124911,0.23269473,-0.06597342,Bull,Bear,Bear
2016-03-01,4333.61426062,0.03153838,0.03105126,4196.30207440,0.25892302,-0.03651573,Bull,Bear,Bear
2016-03-02,4334.38638176,0.00017817,0.00017815,4199.66998433,0.24484211,-0.03634407,Bull,Bear,Bear
2016-03-03,4325.86205654,-0.00196667,-0.00196861,4202.67455748,0.24396435,-0.03823927,Bull,Bear,Bear
2016-03-04,4329.00043374,0.00072549,0.00072523,4205.61236855,0.24377648,-0.03754152,Bull,Bear,Bear
2016-03-07,4303.33356874,-0.00592905,-0.00594670,4207.83330492,0.20405638,-0.04324798,Bull,Bear,Bear
2016-03-08,4265.50954638,-0.00878947,-0.00882833,4209.11499918,0.19650996,-0.05165733,Bull,Bear,Bear
2016-03-09,4293.23236563,0.00649930,0.00647827,4210.94363758,0.19496778,-0.04549376,Bull,Bear,Bear
2016-03-10,4286.96631885,-0.00145952,-0.00146058,4212.56114143,0.19598120,-0.04688688,Bull,Bear,Bear
2016-03-11,4361.82982749,0.01746305,0.01731232,4215.67090573,0.20063989,-0.03024262,Bull,Bear,Bear
2016-03-14,4367.32897164,0.00126074,0.00125995,4218.76596830,0.19779031,-0.02902000,Bull,Bear,Bull
